Time - Gen	Amplitude - Gen
0	1.94743
0.0005	2.86815
0.001	3.44243
0.0015	3.69799
0.002	3.6345
0.0025	3.23425
0.003	2.51043
0.0035	1.52752
0.004	0.379287
0.0045	-0.835326
0.005	-1.9697
0.0055	-2.89169
0.006	-3.46532
0.0065	-3.7241
0.007	-3.66062
0.0075	-3.26036
0.008	-2.53301
0.0085	-1.5485
0.009	-0.389635
0.0095	0.820468
0.01	1.95581
0.0105	2.8704
0.011	3.44404
0.0115	3.69896
0.012	3.6345
0.0125	3.23102
0.013	2.50463
0.0135	1.52011
0.014	0.37252
0.0145	-0.842416
0.015	-1.97775
0.0155	-2.89137
0.016	-3.46307
0.0165	-3.72152
0.017	-3.65417
0.0175	-3.25811
0.018	-2.52431
0.0185	-1.54012
0.019	-0.381579
0.0195	0.827236
0.02	1.96193
0.0205	2.87524
0.021	3.44082
0.0215	3.69767
0.022	3.62806
0.0225	3.22716
0.023	2.50399
0.0235	1.51302
0.024	0.364786
0.0245	-0.851762
0.025	-1.98516
0.0255	-2.90136
0.026	-3.46403
0.0265	-3.72314
0.027	-3.65353
0.0275	-3.25263
0.028	-2.52496
0.0285	-1.53496
0.029	-0.374489
0.0295	0.83497
0.03	1.96258
0.0305	2.87492
0.031	3.44952
0.0315	3.69799
0.032	3.62838
0.0325	3.22716
0.033	2.49722
0.0335	1.51366
0.034	0.356407
0.0345	-0.853051
0.035	-1.98387
0.0355	-2.8991
0.036	-3.47274
0.0365	-3.72152
0.037	-3.65127
0.0375	-3.2507
0.038	-2.51883
0.0385	-1.53335
0.039	-0.365788
0.0395	0.835937
0.04	1.97128
0.0405	2.88297
0.041	3.44823
0.0415	3.69799
0.042	3.62741
0.0425	3.21942
0.043	2.49625
0.0435	1.50432
0.044	0.350284
0.0445	-0.859818
0.045	-1.99258
0.0455	-2.90684
0.046	-3.47048
0.0465	-3.7241
0.047	-3.65385
0.0475	-3.24361
0.048	-2.51948
0.0485	-1.52626
0.049	-0.36611
0.0495	0.843027
