Time - Medio	Amplitude - Medio
0	0.354473
0.0005	0.283897
0.001	0.16756
0.0015	0.0654019
0.002	-0.031922
0.0025	-0.137947
0.003	-0.235593
0.0035	-0.315837
0.004	-0.367399
0.0045	-0.38029
0.005	-0.354508
0.0055	-0.282321
0.006	-0.164695
0.0065	-0.0654374
0.007	0.0334977
0.0075	0.138878
0.008	0.236202
0.0085	0.315157
0.009	0.369297
0.0095	0.37961
0.01	0.353506
0.0105	0.283575
0.011	0.166915
0.0115	0.0650796
0.012	-0.033211
0.0125	-0.138914
0.013	-0.235915
0.0135	-0.316159
0.014	-0.367721
0.0145	-0.379
0.015	-0.354508
0.0155	-0.281677
0.016	-0.16405
0.0165	-0.0644706
0.017	0.0341422
0.0175	0.140167
0.018	0.236202
0.0185	0.315801
0.019	0.368975
0.0195	0.379932
0.02	0.353184
0.0205	0.282608
0.021	0.166593
0.0215	0.0644351
0.022	-0.0328887
0.0225	-0.139236
0.023	-0.235915
0.0235	-0.316481
0.024	-0.368044
0.0245	-0.379645
0.025	-0.353864
0.0255	-0.28071
0.026	-0.163406
0.0265	-0.0641484
0.027	0.0344645
0.0275	0.140489
0.028	0.236847
0.0285	0.316124
0.029	0.36962
0.0295	0.380254
0.03	0.353184
0.0305	0.282608
0.031	0.165948
0.0315	0.0647573
0.032	-0.0338555
0.0325	-0.139558
0.033	-0.236237
0.0335	-0.317126
0.034	-0.368366
0.0345	-0.379967
0.035	-0.353864
0.0355	-0.280388
0.036	-0.162761
0.0365	-0.0631816
0.037	0.0357536
0.0375	0.140489
0.038	0.237169
0.0385	0.316124
0.039	0.369297
0.0395	0.379932
0.04	0.352862
0.0405	0.281964
0.041	0.165304
0.0415	0.0637906
0.042	-0.0341778
0.0425	-0.140203
0.043	-0.237204
0.0435	-0.316804
0.044	-0.368366
0.0445	-0.379645
0.045	-0.353542
0.0455	-0.280065
0.046	-0.162761
0.0465	-0.0628593
0.047	0.0357536
0.0475	0.141779
0.048	0.23878
0.0485	0.316768
0.049	0.369942
0.0495	0.380577
