Time - Alto	Amplitude - Alto
0	1.94131
5.00E-05	1.81562
0.0001	1.58682
0.00015	1.25553
0.0002	0.869452
0.00025	0.446641
0.0003	0.0106169
0.00035	-0.437008
0.0004	-0.864008
0.00045	-1.25459
0.0005	-1.56558
0.00055	-1.80276
0.0006	-1.93457
0.00065	-1.95036
0.0007	-1.84305
0.00075	-1.62197
0.0008	-1.31131
0.00085	-0.929105
0.0009	-0.49985
0.00095	-0.0680156
0.001	0.379932
0.00105	0.814345
0.0011	1.20525
0.00115	1.53493
0.0012	1.7747
0.00125	1.92101
0.0013	1.95162
0.00135	1.86622
0.0014	1.65771
0.00145	1.35801
0.0015	0.985145
0.00155	0.564267
0.0016	0.132755
0.00165	-0.310358
0.0017	-0.749282
0.00175	-1.15211
0.0018	-1.49178
0.00185	-1.74572
0.0019	-1.90782
0.00195	-1.96003
0.002	-1.8843
0.00205	-1.69319
0.0021	-1.40412
0.00215	-1.03996
0.0022	-0.62521
0.00225	-0.19241
0.0023	0.253604
0.00235	0.697363
0.0024	1.09923
0.00245	1.45275
0.0025	1.71572
0.00255	1.89007
0.0026	1.95645
0.00265	1.90199
0.0027	1.72668
0.00275	1.45211
0.0028	1.09568
0.00285	0.682539
0.0029	0.254571
0.00295	-0.189509
0.003	-0.630044
0.00305	-1.04222
0.0031	-1.4038
0.00315	-1.68224
0.0032	-1.87463
0.00325	-1.95906
0.0033	-1.92039
0.00335	-1.7599
0.0034	-1.495
0.00345	-1.14728
0.0035	-0.742837
0.00355	-0.308747
0.0036	0.131144
0.00365	0.572002
0.0037	0.993202
0.00375	1.36284
0.0038	1.6532
0.00385	1.85333
0.0039	1.95098
0.00395	1.92552
0.004	1.78694
0.00405	1.53719
0.0041	1.20042
0.00415	0.80371
0.0042	0.375743
0.00425	-0.0635039
0.0043	-0.511129
0.00435	-0.936195
0.0044	-1.31389
0.00445	-1.61617
0.0045	-1.83628
0.00455	-1.94714
0.0046	-1.9423
0.00465	-1.8163
0.0047	-1.58072
0.00475	-1.25234
0.0048	-0.860785
0.00485	-0.431852
0.0049	0.00546071
0.00495	0.451152
