Time - Basso	Amplitude - Basso
0	-0.340007
5.00E-05	0.0299528
0.0001	0.386377
0.00015	0.713476
0.0002	1.00577
0.00025	1.25778
0.0003	1.45694
0.00035	1.5881
0.0004	1.6271
0.00045	1.55104
0.0005	1.35897
0.00055	1.07925
0.0006	0.740224
0.00065	0.375098
0.0007	0.00256033
0.00075	-0.35612
0.0008	-0.689019
0.00085	-0.987435
0.0009	-1.24847
0.00095	-1.45826
0.001	-1.60038
0.00105	-1.65323
0.0011	-1.59361
0.00115	-1.41379
0.0012	-1.14148
0.00125	-0.808256
0.0013	-0.44442
0.00135	-0.0718827
0.0014	0.29002
0.00145	0.626464
0.0015	0.928427
0.00155	1.19268
0.0016	1.40828
0.00165	1.55942
0.0017	1.62613
0.00175	1.58488
0.0018	1.4231
0.00185	1.16432
0.0019	0.839159
0.00195	0.478867
0.002	0.105685
0.00205	-0.257829
0.0021	-0.599107
0.00215	-0.908158
0.0022	-1.18015
0.00225	-1.40573
0.0023	-1.56912
0.00235	-1.64808
0.0024	-1.62262
0.00245	-1.47438
0.0025	-1.22494
0.00255	-0.904935
0.0026	-0.5469
0.00265	-0.175007
0.0027	0.191085
0.00275	0.535264
0.0028	0.84786
0.00285	1.12275
0.0029	1.35382
0.00295	1.52494
0.003	1.61743
0.00305	1.60873
0.0031	1.47886
0.00315	1.2436
0.0032	0.934228
0.00325	0.580381
0.0033	0.209776
0.00335	-0.158572
0.0034	-0.507584
0.00345	-0.825981
0.0035	-1.10925
0.00355	-1.34837
0.0036	-1.53045
0.00365	-1.63647
0.0037	-1.64228
0.00375	-1.52723
0.0038	-1.30293
0.00385	-0.999681
0.0039	-0.64938
0.00395	-0.279099
0.004	0.0905385
0.00405	0.442451
0.0041	0.764072
0.00415	1.0496
0.0042	1.29452
0.00425	1.48466
0.0043	1.60099
0.00435	1.62323
0.0044	1.52687
0.00445	1.31805
0.0045	1.02543
0.00455	0.681572
0.0046	0.313546
0.00465	-0.0570586
0.0047	-0.41316
0.00475	-0.740581
0.0048	-1.03384
0.00485	-1.28682
0.0049	-1.48727
0.00495	-1.61585
