Frequency - Plot 0	Amplitude - Plot 0
99.9759	3.49114
119.943	3.44423
159.998	3.33831
179.931	3.27984
200.05	3.21793
219.979	3.15363
239.91	3.08729
279.957	2.94719
300.075	2.87431
320.005	2.80078
339.936	2.72616
360.052	2.65029
379.983	2.5747
399.912	2.49904
420.03	2.4232
439.961	2.34893
460.077	2.27536
480.008	2.20439
499.938	2.13582
520.055	2.06964
559.916	1.94798
580.032	1.89314
599.962	1.84258
620.08	1.79545
640.01	1.75283
659.94	1.7142
680.057	1.67881
699.987	1.64712
719.918	1.61856
740.034	1.59232
780.081	1.54671
800.012	1.52724
819.942	1.50905
840.06	1.49176
859.99	1.4756
879.92	1.46017
900.037	1.44513
919.968	1.43069
940.085	1.4164
960.014	1.40256
979.946	1.38902
1000.06	1.37543
1019.99	1.36217
1039.92	1.34901
1060.04	1.33588
1079.97	1.32304
1100.09	1.31008
1139.95	1.28458
1160.06	1.27209
1180	1.25978
1220.04	1.23512
1239.97	1.22312
1260.09	1.21127
1299.95	1.18779
1320.07	1.17635
1340	1.16505
1359.93	1.15392
1380.04	1.1428
1420.09	1.12093
1440.02	1.11044
1459.95	1.10013
1480.07	1.08981
1500	1.07977
1540.05	1.06047
1559.98	1.05061
1580.09	1.0408
1619.96	1.02189
1640.07	1.01269
1660	1.0037
1700.05	0.985911
1719.98	0.977337
1740.1	0.968813
1779.96	0.952119
1800.07	0.944008
1820.01	0.936061
1860.05	0.920204
1879.98	0.912654
1900.1	0.905008
1920.03	0.897647
1939.96	0.890384
1960.08	0.883116
1980.01	0.876026
1999.94	0.869109
2039.99	0.855255
2060.1	0.848535
2080.03	0.841951
2099.96	0.835511
2120.08	0.829038
2140.01	0.822746
2180.06	0.810281
2199.99	0.804241
2220.1	0.798239
2240.03	0.792386
2259.97	0.786627
2300.01	0.775141
2319.94	0.769663
2340.06	0.764131
2380.11	0.753333
2400.04	0.748075
2419.97	0.742887
2460.01	0.732598
2479.94	0.727647
2500.06	0.722736
2519.99	0.717922
2540.11	0.713094
2560.04	0.708405
2579.97	0.703724
2600.09	0.699073
2639.95	0.689983
2660.06	0.685493
2679.99	0.681143
2720.04	0.672446
2739.97	0.668235
2760.09	0.664029
2799.95	0.655818
2820.07	0.651806
2840	0.647778
2860.12	0.643914
2880.05	0.640059
2899.98	0.636241
2920.09	0.63246
2940.02	0.628678
2980.07	0.620764
3000	0.617164
