Frequency - Plot 0	Amplitude - Plot 0
99.9364	0.364638
119.958	0.440743
140.07	0.519816
160.008	0.600312
200.05	0.769012
219.98	0.856666
239.909	0.946797
260.028	1.04054
279.958	1.13607
300.075	1.23516
320.005	1.33583
339.936	1.43853
360.051	1.54406
379.982	1.64983
420.028	1.86198
439.959	1.96515
480.006	2.16165
499.936	2.25135
520.053	2.33496
539.983	2.41005
559.914	2.47686
580.031	2.53539
599.962	2.58433
640.01	2.65493
659.94	2.67667
680.057	2.69006
699.988	2.69542
719.918	2.69358
740.035	2.685
759.966	2.67056
780.083	2.65085
819.944	2.5987
840.06	2.56751
859.991	2.53422
900.038	2.46165
919.968	2.42419
940.085	2.38578
960.016	2.34767
979.946	2.30932
1000.06	2.27094
1019.99	2.23336
1039.92	2.19614
1060.04	2.15907
1079.97	2.12323
1100.09	2.0876
1120.02	2.05308
1139.95	2.01944
1160.07	1.98627
1199.93	1.92211
1220.04	1.89166
1239.97	1.86205
1260.09	1.83289
1260.09	1.83484
1280.02	1.8054
1299.95	1.77771
1320.07	1.75057
1340	1.72449
1359.93	1.69911
1380.04	1.67414
1399.98	1.65004
1420.09	1.62642
1440.02	1.6036
1459.95	1.58138
1480.07	1.55952
1519.93	1.51739
1540.05	1.49743
1559.98	1.47788
1580.09	1.45867
1600.03	1.4403
1640.07	1.40394
1660	1.38677
1679.93	1.37004
1700.05	1.3534
1719.98	1.33741
1740.1	1.32169
1760.03	1.30636
1779.96	1.29134
1800.07	1.27641
1820	1.26191
1839.93	1.24789
1879.98	1.22026
1900.1	1.20705
1920.03	1.1942
1939.96	1.18164
1960.08	1.16916
1980.01	1.15702
1999.94	1.14517
2020.05	1.13344
2060.1	1.11064
2080.03	1.09971
2099.96	1.08898
2140.01	1.06799
2159.94	1.05795
2180.06	1.04798
2220.11	1.02859
2240.03	1.01924
2259.97	1.01007
2280.08	1.001
2300.01	0.992152
2340.06	0.974768
2359.99	0.966422
2380.11	0.958167
2419.97	0.942039
2440.08	0.934167
2460.02	0.926501
2479.95	0.918913
2500.06	0.911413
2519.99	0.904172
2540.11	0.89691
2560.04	0.889738
2579.97	0.882774
2600.09	0.875888
2620.02	0.869152
2639.95	0.862531
2660.06	0.855983
2679.99	0.849549
2700.11	0.843224
2720.04	0.836952
2760.09	0.824624
2780.02	0.818699
2799.95	0.81285
2820.07	0.807029
2840	0.801328
2880.05	0.790058
2899.98	0.784639
2920.09	0.779218
2940.02	0.773954
2959.95	0.768677
3000	0.758415
