Frequency - Plot 0	Amplitude - Plot 0
80.0751	3.51933
100.016	3.48506
100.016	3.4851
119.946	3.43924
140.07	3.38885
140.071	3.38896
159.995	3.335
179.93	3.27749
179.93	3.27767
200.049	3.217
219.979	3.15374
239.911	3.08847
239.911	3.08928
260.025	3.02073
279.956	2.95163
279.956	2.95255
300.073	2.88144
320.004	2.80886
320.004	2.80987
339.936	2.73725
360.05	2.66193
379.982	2.58784
379.981	2.58962
399.912	2.51425
420.029	2.44008
420.029	2.44192
439.96	2.36906
460.076	2.29591
480.006	2.2259
480.007	2.22848
499.936	2.16087
520.054	2.09436
520.151	2.09638
539.984	2.03577
559.915	1.97575
580.031	1.92125
580.031	1.92377
599.962	1.87167
620.078	1.82471
640.008	1.78242
640.009	1.78469
659.938	1.74459
680.055	1.70885
680.055	1.71075
699.985	1.67859
719.916	1.64837
740.033	1.62164
740.033	1.62303
759.963	1.59804
780.079	1.57548
780.08	1.57662
800.01	1.55593
819.94	1.5362
840.058	1.51794
840.057	1.5188
859.987	1.5012
879.918	1.48476
895.316	1.46323
900.036	1.46941
919.965	1.45371
940.081	1.43849
940.082	1.43913
960.012	1.42417
979.942	1.40959
979.943	1.41012
1000.06	1.39566
1019.99	1.38137
1039.92	1.36746
1039.92	1.36799
1060.04	1.35378
1079.97	1.34002
1100.08	1.32631
1100.08	1.32698
1120.01	1.31325
1139.94	1.29986
1139.95	1.30043
1160.06	1.28689
1179.99	1.27383
1199.92	1.26094
1199.92	1.2615
1220.04	1.24852
1239.97	1.23569
1239.97	1.23632
1260.09	1.22336
1280.02	1.21109
1299.95	1.19884
1299.95	1.19938
1320.06	1.18697
1339.99	1.17507
1339.99	1.17565
1359.92	1.16383
1380.04	1.15197
1399.97	1.14058
1399.97	1.14109
1420.09	1.12968
1440.02	1.11841
1440.02	1.1189
1459.95	1.10801
1480.07	1.09692
1500	1.08631
1500	1.08679
1519.93	1.07604
1540.04	1.0657
1540.04	1.06607
1559.97	1.05596
1580.09	1.04569
1600.02	1.03586
1600.02	1.03625
1619.95	1.02641
1640.07	1.01674
1640.07	1.01717
1660	1.00774
1679.93	0.998367
1700.04	0.98918
1700.04	0.989623
1719.98	0.980593
1740.09	0.971543
1760.02	0.962934
1760.02	0.963275
1779.95	0.954603
1800.07	0.94607
1800.07	0.946393
1820	0.938139
1839.93	0.929838
1860.05	0.921681
1860.05	0.922059
1879.98	0.914092
1900.09	0.906148
1920.02	0.898494
1939.86	0.890759
1939.95	0.891382
1960.07	0.883836
1980	0.876422
1999.93	0.869251
1999.93	0.869515
2020.05	0.862224
2039.98	0.855225
2039.98	0.8555
2060.1	0.84855
2080.03	0.841687
2099.96	0.835002
2099.96	0.835271
2120.07	0.82848
2140.01	0.821995
2140	0.822273
2159.94	0.815908
2180.05	0.80943
2199.98	0.80328
2199.98	0.803493
2220.1	0.797263
2240.03	0.791164
2259.96	0.785264
2259.96	0.785463
2280.08	0.779549
2300.01	0.773768
2300.01	0.773925
2319.93	0.768255
2340.05	0.762497
2359.98	0.756992
2359.98	0.757207
2380.1	0.751583
2400.03	0.746203
2419.96	0.740948
2419.96	0.741151
2440.08	0.735743
2460.01	0.730606
2479.94	0.725506
2479.94	0.725754
2500.05	0.720605
2519.99	0.715641
2519.99	0.715841
2540.1	0.710911
2560.03	0.706026
2579.96	0.701284
2579.96	0.701472
2600.08	0.696655
2620.01	0.691989
2639.94	0.687428
2639.94	0.68765
2660.06	0.683007
2679.99	0.678547
2700.1	0.67413
2700.1	0.674334
2720.04	0.669925
2739.97	0.66567
2760.08	0.661343
2760.08	0.661539
2780.01	0.657283
2799.94	0.653147
2799.94	0.653314
2820.06	0.649176
2839.99	0.645122
2860.11	0.64112
2860.11	0.641272
2880.04	0.637286
2899.97	0.633403
2920.08	0.62957
2920.08	0.629724
2940.01	0.625922
2959.94	0.622195
2980.06	0.61842
2999.99	0.614783
2999.99	0.614925
