Frequency - Plot 0	Amplitude - Plot 0
1000.06	3.50991
1000.06	3.50985
1000.06	3.50983
1000.06	3.5098
1000.06	3.50968
1000.06	3.5096
1000.06	3.50962
1000.06	3.50974
1000.06	3.50974
1000.06	3.50959
1000.06	3.5098
1000.06	3.50983
1000.06	3.5096
1000.06	3.5098
1000.06	3.50963
1000.06	3.50987
1000.06	3.50968
1000.06	3.50967
1000.06	3.5097
1000.06	3.50989
1000.06	3.50967
1000.06	3.50974
1000.06	3.50984
1000.06	3.50995
1000.06	3.50983
1000.06	3.50972
1000.06	3.50961
1000.06	3.50962
1000.06	3.50973
1000.06	3.50993
1000.06	3.50938
1000.06	3.50965
1000.06	3.50965
1000.06	3.50958
1000.06	3.50954
1000.06	3.5096
1000.06	3.50953
1000.06	3.50954
1000.06	3.50968
1000.06	3.50969
1000.06	3.50963
1000.06	3.50962
1000.06	3.50947
1000.06	3.50959
1000.06	3.50973
1000.06	3.5097
1000.06	3.50965
1000.06	3.50954
1000.06	3.50955
1000.06	3.5095
1000.06	3.50968
1000.06	3.50955
1000.06	3.50971
1000.06	3.50969
1000.05	3.50954
1000.06	3.50954
1000.06	3.50946
1000.06	3.50959
1000.05	3.50944
1000.06	3.50951
1000.06	3.50954
1000.06	3.50959
1000.06	3.50968
1000.06	3.50956
1000.06	3.50949
1000.06	3.50948
1000.06	3.50944
1000.06	3.50954
1000.06	3.50965
1000.06	3.50945
1000.06	3.50952
1000.05	3.50918
1000.06	3.50957
1000.06	3.50945
1000.06	3.50948
1000.06	3.50957
1000.06	3.50969
1000.06	3.50963
1000.06	3.5095
1000.06	3.50954
1000.06	3.50958
1000.06	3.50967
1000.06	3.50958
1000.06	3.50963
1000.06	3.5095
1000.06	3.50954
1000.06	3.50965
1000.06	3.50975
1000.06	3.50941
1000.06	3.50967
1000.05	3.50916
1000.06	3.50937
1000.06	3.50946
1000.06	3.50948
1000.06	3.50967
1000.06	3.50948
1000.06	3.50965
1000.06	3.50963
1000.05	3.50956
1000.06	3.50956
1000.06	3.50946
1000.06	3.5097
1000.06	3.5093
1000.06	3.50958
1000.06	3.50949
1000.06	3.50949
1000.06	3.50979
1000.06	3.50974
1000.06	3.50976
1000.06	3.50958
1000.06	3.50954
1000.06	3.50977
1000.06	3.50952
1000.06	3.50951
1000.06	3.50951
1000.06	3.50951
1000.06	3.50954
1000.06	3.5096
1000.06	3.50954
1000.06	3.50956
1000.06	3.50937
1000.06	3.50948
1000.06	3.50953
1000.06	3.50951
1000.06	3.50958
1000.06	3.50954
1000.06	3.50969
1000.06	3.50976
1000.06	3.50956
1000.06	3.50964
1000.06	3.50937
1000.06	3.5096
1000.06	3.50965
1000.06	3.50969
1000.06	3.50964
1000.06	3.5099
1000.06	3.50973
1000.06	3.50979
1000.06	3.5097
1000.06	3.50958
1000.06	3.50979
1000.06	3.5097
1000.06	3.5096
1000.06	3.50951
1000.06	3.50962
1000.06	3.5097
1000.06	3.50956
1000.06	3.50967
1000.06	3.50966
1000.06	3.5094
1000.06	3.5096
1000.06	3.50946
1000.06	3.50942
1000.06	3.5096
1000.06	3.50939
1000.06	3.50944
1000.06	3.50931
1000.06	3.50941
1000.06	3.50953
1000.06	3.50958
1000.06	3.50948
1000.06	3.50957
1000.06	3.50951
1000.06	3.50935
1000.06	3.50947
1000.06	3.50967
1000.06	3.50947
1000.06	3.50971
1000.06	3.50967
1000.06	3.50951
1000.06	3.50954
1000.06	3.50948
1000.06	3.50952
1000.06	3.50951
1000.06	3.50959
1000.06	3.50933
1000.05	3.50961
1000.06	3.50961
1000.06	3.50962
1000.06	3.50954
1000.06	3.50943
1000.05	3.50955
1000.06	3.50964
1000.06	3.50962
1000.06	3.5096
1000.06	3.50952
1000.06	3.50952
1000.06	3.50954
1000.06	3.50952
1000.06	3.50954
1000.06	3.50951
1000.06	3.50947
1000.06	3.50941
1000.06	3.50939
1000.06	3.50945
1000.06	3.50955
1000.06	3.50945
1000.06	3.5096
1000.06	3.50949
1000.06	3.50968
1000.06	3.50946
1000.06	3.50936
1000.06	3.50939
1000.06	3.50951
1000.06	3.50929
1000.06	3.50946
1000.06	3.50935
1000.06	3.50955
1000.06	3.5094
1000.06	3.5093
1000.06	3.50949
1000.06	3.50938
1000.06	3.5095
1000.06	3.50934
1000.06	3.50954
1000.06	3.50942
1000.06	3.50941
1000.06	3.50934
1000.06	3.50947
1000.06	3.50932
1000.06	3.50943
1000.06	3.50915
1000.06	3.50926
1000.06	3.50937
1000.06	3.50926
1000.06	3.50933
1000.06	3.50934
1000.06	3.5092
1000.06	3.50949
1000.06	3.50929
1000.05	3.50913
1000.06	3.50933
1000.06	3.50948
1000.06	3.50932
1000.06	3.5093
1000.06	3.50935
1000.06	3.50944
1000.06	3.50936
1000.06	3.50928
1000.06	3.5093
1000.06	3.50934
1000.06	3.50907
1000.06	3.50934
1000.06	3.50918
1000.06	3.50933
1000.06	3.50912
1000.06	3.50926
1000.06	3.50918
1000.06	3.50933
1000.06	3.50923
1000.06	3.50931
1000.06	3.50919
1000.06	3.50917
1000.06	3.50923
1000.06	3.50923
1000.06	3.50942
1000.06	3.50946
1000.06	3.50925
1000.06	3.50936
1000.06	3.50932
1000.06	3.50915
1000.06	3.50915
1000.06	3.50933
1000.06	3.50925
1000.06	3.50942
1000.06	3.50922
1000.06	3.50909
1000.06	3.50921
1000.06	3.50921
1000.06	3.50927
1000.06	3.50941
