Frequency - Plot 0	Amplitude - Plot 0
300.073	3.85926
300.073	3.85945
300.072	3.85931
300.073	3.85933
300.073	3.85931
300.073	3.85945
300.073	3.85932
300.072	3.85939
300.073	3.85938
300.072	3.85935
300.072	3.85935
300.073	3.85951
300.072	3.85952
300.073	3.85947
300.072	3.85939
300.072	3.85936
300.072	3.85932
300.075	3.8596
300.074	3.8593
300.072	3.85917
300.073	3.85933
300.073	3.85939
300.073	3.85937
300.073	3.85933
300.072	3.85925
300.072	3.85931
300.072	3.8592
300.072	3.8593
300.073	3.85936
300.073	3.85929
300.072	3.85934
300.073	3.85935
300.072	3.85906
300.072	3.85931
300.072	3.85926
300.072	3.85919
300.073	3.85914
300.073	3.85912
300.073	3.85923
300.073	3.85922
300.072	3.85905
300.073	3.85916
300.072	3.85924
300.072	3.85905
300.076	3.85938
300.075	3.85938
300.072	3.85922
300.073	3.85925
300.073	3.85914
300.072	3.85917
300.072	3.85906
300.072	3.85907
300.073	3.85914
300.072	3.85912
300.073	3.85906
300.072	3.85933
300.072	3.85923
300.071	3.85908
300.072	3.85911
300.072	3.85909
300.072	3.85906
300.072	3.85914
300.072	3.85898
300.073	3.85899
300.072	3.8592
300.072	3.85917
300.073	3.859
300.074	3.85917
300.073	3.85917
300.072	3.85901
300.072	3.85902
300.073	3.85914
300.073	3.85901
300.073	3.85918
300.074	3.85914
300.075	3.85924
300.072	3.85936
300.072	3.8592
300.072	3.85919
300.073	3.85915
300.076	3.85933
300.072	3.85922
300.072	3.85899
300.072	3.85904
300.072	3.85917
300.072	3.85906
300.073	3.85914
300.072	3.85903
300.073	3.85905
300.072	3.85916
300.072	3.85906
300.073	3.85913
300.073	3.85916
300.072	3.85924
300.072	3.85923
300.073	3.85917
300.073	3.85904
300.073	3.85911
300.072	3.85905
300.072	3.85924
300.072	3.85919
300.072	3.85929
300.072	3.85926
300.072	3.85916
300.073	3.85911
300.072	3.85909
300.075	3.85928
300.073	3.85921
300.073	3.8592
300.073	3.85913
300.072	3.85917
300.075	3.85924
300.074	3.85912
300.073	3.85917
300.073	3.85909
300.073	3.85924
300.071	3.85895
300.071	3.85895
300.072	3.85907
300.073	3.85904
300.075	3.85903
300.073	3.859
300.073	3.85909
300.072	3.85903
300.071	3.85896
300.075	3.85902
300.072	3.85893
