Frequency - Plot 0	Amplitude - Plot 0
499.932	3.60465
499.934	3.60446
499.932	3.6046
499.937	3.60444
499.933	3.60438
499.933	3.60429
499.933	3.60434
499.936	3.60454
499.935	3.60421
499.933	3.60426
499.931	3.60432
499.935	3.60408
499.933	3.60418
499.934	3.60412
499.933	3.60427
499.935	3.60411
499.932	3.60407
499.933	3.60403
499.933	3.60405
499.932	3.6042
499.935	3.60402
499.935	3.60417
499.934	3.60413
499.932	3.60415
499.933	3.604
499.935	3.60433
499.933	3.60403
499.933	3.60399
499.933	3.60397
499.933	3.60393
499.933	3.60406
499.933	3.60385
499.931	3.60385
499.933	3.60379
499.936	3.60377
499.93	3.60372
499.93	3.60382
499.938	3.60354
499.935	3.6037
499.933	3.60347
499.934	3.60355
499.93	3.60372
499.933	3.60341
499.933	3.60344
499.933	3.60331
499.932	3.60326
499.932	3.6034
499.935	3.60334
499.935	3.60328
499.935	3.60341
499.935	3.60327
499.932	3.60331
499.932	3.60313
499.934	3.60298
499.929	3.60309
499.933	3.60314
499.936	3.60297
499.935	3.60304
499.933	3.60316
499.934	3.6031
499.931	3.60308
499.934	3.60308
499.932	3.60307
499.933	3.60318
499.934	3.60305
499.931	3.60306
499.933	3.60306
499.934	3.60305
499.931	3.60325
499.931	3.60309
499.933	3.60299
499.933	3.60286
499.932	3.60302
499.934	3.60297
499.934	3.60326
499.931	3.60302
499.932	3.60311
499.931	3.6031
499.935	3.60295
499.931	3.60312
499.934	3.60307
499.932	3.60297
499.935	3.60314
499.934	3.60303
499.933	3.60308
499.932	3.60312
499.935	3.60317
499.934	3.6031
499.931	3.60312
499.933	3.60316
499.934	3.60321
499.933	3.60321
499.931	3.60323
499.935	3.60332
499.936	3.60328
499.938	3.60353
499.932	3.60349
499.935	3.60328
499.931	3.60327
499.933	3.60359
499.933	3.60334
499.933	3.60346
499.934	3.60346
499.932	3.60336
499.933	3.60337
499.931	3.60338
499.933	3.60337
499.935	3.60337
499.932	3.60339
499.932	3.60332
499.936	3.60334
499.932	3.60322
499.936	3.60317
499.934	3.6031
499.932	3.60303
499.936	3.60295
499.937	3.60299
499.933	3.603
499.933	3.60287
499.935	3.60272
499.934	3.60287
499.936	3.60278
499.934	3.60281
499.933	3.60296
499.935	3.60302
499.934	3.60298
499.933	3.60292
499.934	3.60287
499.936	3.60288
499.936	3.60295
499.934	3.60287
499.935	3.60283
499.933	3.60295
499.934	3.60297
499.932	3.60285
499.935	3.60283
499.937	3.60271
499.931	3.60282
499.935	3.60277
499.935	3.6029
499.936	3.60291
499.934	3.60292
499.935	3.60311
499.935	3.60298
499.932	3.60304
499.934	3.60299
499.932	3.60307
499.93	3.60309
499.932	3.60305
499.935	3.60302
499.936	3.60292
499.937	3.60298
499.934	3.60287
499.932	3.60294
499.931	3.60313
499.934	3.60295
499.934	3.60312
499.934	3.60282
499.934	3.60293
499.936	3.60306
499.935	3.6031
499.935	3.60297
499.933	3.60306
499.931	3.60314
499.935	3.60298
499.933	3.60311
499.933	3.60297
499.934	3.60299
499.931	3.60302
499.932	3.60308
499.932	3.60306
499.935	3.60301
499.934	3.60311
499.936	3.60328
499.933	3.60313
499.936	3.60305
499.933	3.60316
499.934	3.60317
499.932	3.60308
499.932	3.60323
499.936	3.60317
499.936	3.60318
499.93	3.60335
499.933	3.60325
499.934	3.60317
499.93	3.6033
499.936	3.60315
499.932	3.6031
499.935	3.60324
499.93	3.60322
499.933	3.60314
499.937	3.60318
499.932	3.6032
499.936	3.60319
499.936	3.60329
499.933	3.60332
499.935	3.60337
499.932	3.60337
