Time - Alto	Amplitude - Alto
0	5.6761
0.002	-1.78E-05
0.004	0.00223806
0.006	0.00256033
0.008	0.00159353
0.01	0.00062674
0.012	-0.000340053
0.014	-0.000340053
0.016	0.00223806
0.018	0.00062674
0.02	0.00159353
0.022	-1.78E-05
0.024	0.00127127
0.026	-0.00130685
0.028	-1.78E-05
0.03	0.0019158
0.032	0.00127127
0.034	0.00062674
0.036	0.00062674
0.038	0.00062674
0.04	0.000949005
0.042	-1.78E-05
0.044	-0.000340053
0.046	0.00062674
0.048	0.00127127
0.05	0.000304476
0.052	-0.000340053
0.054	0.000949005
0.056	0.00127127
0.058	-1.78E-05
0.06	-1.78E-05
0.062	0.000949005
0.064	0.00256033
0.066	0.00062674
0.068	-0.000340053
0.07	-1.78E-05
0.072	-1.78E-05
0.074	0.000949005
0.076	0.000949005
0.078	0.00062674
0.08	-0.000662317
0.082	0.00127127
0.084	0.000949005
0.086	0.00062674
0.088	-0.000340053
0.09	0.000949005
0.092	0.00159353
0.094	-0.000340053
0.096	0.000304476
0.098	0.000304476
0.1	0.00127127
0.102	0.000949005
0.104	0.000949005
0.106	0.00062674
0.108	-0.00130685
0.11	-0.00130685
0.112	-1.78E-05
0.114	-0.000662317
0.116	0.00127127
0.118	-1.78E-05
0.12	0.000949005
0.122	0.00159353
0.124	0.000304476
0.126	-0.000662317
0.128	0.00062674
0.13	0.000304476
0.132	0.00223806
0.134	-0.000662317
0.136	0.000304476
0.138	0.000949005
0.14	0.000304476
0.142	0.000304476
0.144	0.00127127
0.146	-0.000340053
0.148	0.000304476
0.15	-1.78E-05
0.152	0.000949005
0.154	0.000304476
0.156	0.000949005
0.158	-0.000662317
0.16	-0.000340053
0.162	0.00062674
0.164	0.000949005
0.166	0.00159353
0.168	-0.00162911
0.17	0.00159353
0.172	-0.00130685
0.174	0.00159353
0.176	0.000304476
0.178	0.00159353
0.18	0.00062674
0.182	0.000949005
0.184	0.00159353
0.186	0.00062674
0.188	0.00127127
0.19	0.000949005
0.192	0.00223806
0.194	0.00127127
0.196	-0.000984581
0.198	0.00159353
