Time - Basso	Amplitude - Basso
0	-2.60004
0.002	3.62967
0.004	3.64192
0.006	3.64224
0.008	3.64256
0.01	3.64256
0.012	3.64224
0.014	3.64288
0.016	3.64224
0.018	3.64224
0.02	3.64256
0.022	3.64288
0.024	3.64224
0.026	3.6432
0.028	3.64224
0.03	3.64256
0.032	3.64288
0.034	3.64288
0.036	3.64256
0.038	3.64288
0.04	3.64288
0.042	3.64192
0.044	3.64224
0.046	3.64256
0.048	3.64288
0.05	3.64224
0.052	3.64224
0.054	3.64288
0.056	3.64192
0.058	3.64256
0.06	3.64256
0.062	3.64224
0.064	3.64224
0.066	3.64224
0.068	3.64256
0.07	3.64256
0.072	3.64256
0.074	3.64288
0.076	3.64256
0.078	3.64256
0.08	3.64288
0.082	3.64256
0.084	3.64256
0.086	3.64256
0.088	3.64256
0.09	3.64224
0.092	3.64192
0.094	3.64288
0.096	3.64256
0.098	3.64224
0.1	3.64256
0.102	3.6432
0.104	3.64256
0.106	3.64288
0.108	3.64224
0.11	3.64256
0.112	3.64256
0.114	3.64256
0.116	3.64224
0.118	3.64256
0.12	3.64256
0.122	3.64224
0.124	3.64224
0.126	3.64192
0.128	3.64256
0.13	3.64224
0.132	3.64288
0.134	3.64256
0.136	3.64288
0.138	3.64256
0.14	3.6432
0.142	3.64256
0.144	3.64224
0.146	3.64288
0.148	3.6432
0.15	3.64224
0.152	3.64288
0.154	3.64256
0.156	3.64192
0.158	3.64288
0.16	3.64256
0.162	3.64288
0.164	3.64256
0.166	3.64288
0.168	3.64256
0.17	3.64256
0.172	3.6432
0.174	3.64256
0.176	3.64256
0.178	3.64192
0.18	3.64224
0.182	3.64288
0.184	3.64192
0.186	3.64224
0.188	3.64256
0.19	3.64256
0.192	3.64256
0.194	3.64224
0.196	3.64256
0.198	3.64256
