Time - Gen	Amplitude - Gen
0	3.40408
0.002	3.72184
0.004	3.73602
0.006	3.73634
0.008	3.73763
0.01	3.73699
0.012	3.73699
0.014	3.7357
0.016	3.73699
0.018	3.73827
0.02	3.73634
0.022	3.73731
0.024	3.73602
0.026	3.7357
0.028	3.73795
0.03	3.7357
0.032	3.73763
0.034	3.73731
0.036	3.7357
0.038	3.7357
0.04	3.73731
0.042	3.73795
0.044	3.73634
0.046	3.73699
0.048	3.73795
0.05	3.73666
0.052	3.73892
0.054	3.73827
0.056	3.73795
0.058	3.73699
0.06	3.73666
0.062	3.73666
0.064	3.7386
0.066	3.7386
0.068	3.73827
0.07	3.73731
0.072	3.73634
0.074	3.73763
0.076	3.73699
0.078	3.73731
0.08	3.73666
0.082	3.73634
0.084	3.73634
0.086	3.73699
0.088	3.73666
0.09	3.73731
0.092	3.73634
0.094	3.73892
0.096	3.73699
0.098	3.7386
0.1	3.73731
0.102	3.73827
0.104	3.73699
0.106	3.73763
0.108	3.73892
0.11	3.73666
0.112	3.7357
0.114	3.73827
0.116	3.73827
0.118	3.73763
0.12	3.73795
0.122	3.73731
0.124	3.73795
0.126	3.73763
0.128	3.73666
0.13	3.73763
0.132	3.73763
0.134	3.73473
0.136	3.73699
0.138	3.73699
0.14	3.73795
0.142	3.7357
0.144	3.73795
0.146	3.73699
0.148	3.7386
0.15	3.73666
0.152	3.73731
0.154	3.73602
0.156	3.7357
0.158	3.73731
0.16	3.73795
0.162	3.73699
0.164	3.73763
0.166	3.73634
0.168	3.73537
0.17	3.73666
0.172	3.73763
0.174	3.73763
0.176	3.73505
0.178	3.73763
0.18	3.73634
0.182	3.73763
0.184	3.73795
0.186	3.73731
0.188	3.73699
0.19	3.73634
0.192	3.73731
0.194	3.73956
0.196	3.73731
0.198	3.73924
